NO.,Name,Price,Mana,Health Point,Attack Power,Type of Attack,Attack Range,Special Power,SP time,,,,,,,,,,,,,,,,
1,Persian archer,300,2,6,4,ranged,7,,,,,,,,,,,,,,,,,,
2,Persian swordsman,400,2,6,4,mele,,Stun Enemy for next round,Passive,,,,,,,,,,,,,,,,
3,Persian spearman,500,1,5,4,hybrid,4,,,,,,,,,,,,,,,,,,
4,Persian knight,200,4,10,6,melee,,,,,,,,,,,,,,,,,,,
5,Persian pahlevan,600,9,24,6,melee,,Deal 5 more damage for every turn that has attacked one enemy,On attack,,,,,,,,,,,,,,,,
6,Persian sepahsalar,800,7,12,4,melee,,Deal 4 more damage for every Persian soldier that participate in attack (except itself),Combo,,,,,,,,,,,,,,,,
7,Turanian archer,500,1,3,4,ranged,5,,,,,,,,,,,,,,,,,,
8,Turanian rockhookman,600,1,4,2,ranged,7,,,,,,,,,,,,,,,,,,
9,Turanian spearman,600,1,4,4,hybrid,3,,,,,,,,,,,,,,,,,,
10,Turanian spy,700,4,6,6,melee,,disarm enemy for one turn and poison enemy for 4 turns,On Attack,,,,,,,,,,,,,,,,
11,Turanian maceman,450,2,3,10,melee,,,,,,,,,,,,,,,,,,,
12,Turanian prince,800,6,6,10,melee,,Deal 4 more damage for every Turanian soldier that participate in attack (except itself),Combo,,,,,,,,,,,,,,,,
13,Black demon,300,9,14,10,hybrid,7,,,,,,,,,,,,,,,,,,
14,Rockthrowing giant,200,9,12,12,ranged,7,,,,,,,,,,,,,,,,,,
15,Eagle,200,2,0,2,ranged,3,Has 10 power buff with increasiing health,Passive,,,,,,,,,,,,,,,,
16,Hogrider demon,300,6,16,8,melee,,,,,,,,,,,,,,,,,,,
17,One-eye giant,500,7,12,11,hybrid,3,Deals 2 damage to every minion in 8 adjacent spaces on death,On Death,,,,,,,,,,,,,,,,
18,Poisonous snake,300,4,5,6,ranged,4,Poison enemy for 3 turns,On attack,,,,,,,,,,,,,,,,
19,Firethrowing dragon,250,5,9,5,ranged,4,,,,,,,,,,,,,,,,,,
20,Predator lion,600,2,1,8,melee,,Holy buff doesn't affect its attack,On attack,,,,,,,,,,,,,,,,
21,Huge snake,500,8,14,7,ranged,5,Minions in 2 spaces distance take 1 more damage when attacked (permanently),On Spawn,,,,,,,,,,,,,,,,
22,White wolf,400,5,8,2,melee,,"When attack a minion, the minion loses 6 health in next turn and 4 health in turn afrer that",On attack,,,,,,,,,,,,,,,,
23,Panter,400,4,6,2,melee,,"When attack a minion, the minion loses 8 health in next round",On attack,,,,,,,,,,,,,,,,
24,Wolf,400,3,6,1,melee,,"When attack a minion, the minion loses 6 health in next turn",On attack,,,,,,,,,,,,,,,,
25,Witch,550,4,5,4,ranged,3,Gives a Power buff with +2 AP and a Weakness buff with -1 HP  to itself and every friendly minion in 8 adjacent spaces,Passive,,,,,,,,,,,,,,,,
26,Grand witch,550,6,6,6,ranged,5,Gives a Power buff with +2 AP and a Holy buff to every friendly minion in 8 adjacent spaces,Passive,,,,,,,,,,,,,,,,
27,Goblin,500,5,10,4,ranged,4,GIves all friendly minions a passive Power buff with +1 AP ,Passive,,,,,,,,,,,,,,,,
28,Wild hog,500,6,10,14,melee,,can't be disarmed,On Defend,,,,,,,,,,,,,,,,
29,Piran,400,8,20,12,melee,,can't be poisoned,On Defend,,,,,,,,,,,,,,,,
30,Giv,450,4,5,7,ranged,5,doesn't take negative affects from cards,On Defend,,,,,,,,,,,,,,,,
31,Bahman,450,8,16,9,melee,,Deals 16 damage to a random enemy minion,On Respawn,,,,,,,,,,,,,,,,
32,Ashkbous,400,7,14,8,melee,,Doesn't take damage from minions with less AP,On Defend,,,,,,,,,,,,,,,,
33,Iraj,500,4,6,20,ranged,3,,,,,,,,,,,,,,,,,,
34,Huge giant,600,9,30,8,hybrid,2,,,,,,,,,,,,,,,,,,
35,Two-Headed giant,550,4,10,4,melee,,Disables every positive affects of attacked minion,Passive,,,,,,,,,,,,,,,,
36,Nane sarma,500,3,3,4,ranged,5,Stun enemy minions in 8 adjacent spaces for one turn,On respawn,,,,,,,,,,,,,,,,
37,Fulad zereh,650,3,1,1,melee,,Turn itself to a random enemy minion,On respawn,,,,,,,,,,,,,,,,
38,Siavash,350,4,8,5,melee,,Deals 6 damage to enemy Hero on death,On death,,,,,,,,,,,,,,,,
39,Giant king,600,5,10,4,melee,,for every giant that participates in attack (except itself) disarms enemy for one turn,Combo,,,,,,,,,,,,,,,,
